kepid,pl_name,lit_duration,lit_depth_ppm,cat_duration,cat_depth_ppm,est_duration,est_duration_err,est_depth_ppm,est_depth_err
9411412,Kepler-1096 b,1.3657,385.5,1.415,359.1,1.306664,0.086805694,350.91998,16.376749
9415108,Kepler-1108 b,2.1605,303.7,2.134,289.4,2.018964,0.08325929,264.63596,8.704932
9467404,Kepler-1323 b,1.7428,108.69999999999999,1.494,70.35,1.6480687,0.090530425,104.42277,1.9322228
9472000,Kepler-1790 b,3.4026,360.6,3.382,358.7,3.2313955,0.049147524,337.0716,7.7323394
9592705,Kepler-1714 b,6.3195,210.20000000000002,6.367,212.4,6.2376704,0.13198094,207.73332,7.1236844
9602613,Kepler-1994 b,2.695,29.099999999999998,2.629,27.39,2.5242507,0.09986295,31.155312,1.0584567
9649706,Kepler-1072 b,2.7835,147.20000000000002,2.627,128.5,2.762455,0.10020819,135.5742,2.547827
9651234,Kepler-1020 b,5.9964,862.8,6.161,912.4,5.7085514,0.23795334,826.6493,14.676078
9701962,Kepler-1617 b,8.305,88.9,7.516,80.33,7.0873528,0.35162675,57.46934,5.425146
9702006,Kepler-1953 b,2.372,212.0,2.525,211.2,2.4539845,0.16544461,175.74348,12.485704
9715631,Kepler-1636 b,17.848,998.4,20.54,858.3,17.186203,1.0204602,877.6723,49.96464
9761615,Kepler-1528 b,2.098,167.5,2.133,170.6,2.096339,0.07236885,160.97295,1.7173984
9782691,Kepler-193 b,3.618,457.1,4.253,430.7,3.7845054,0.13755956,407.8654,6.1570354
9782691,Kepler-193 c,6.115,610.9,5.873,630.9,5.478408,0.1496652,577.1274,14.09209
9813499,Kepler-868 b,3.3066,439.09999999999997,3.324,430.5,3.1993499,0.08112897,430.5805,5.687096
9824805,Kepler-881 b,3.35,162.99999999999997,3.197,158.0,3.1595352,0.07324566,145.89171,3.9317205
9827149,Kepler-1282 b,1.8179,269.4,1.821,283.2,1.8323812,0.062109984,255.08328,7.2581644
9851662,Kepler-1252 b,4.275,221.5,4.324,223.1,4.175362,0.13100854,197.98468,8.332764
9872831,Kepler-1572 b,2.511,85.80000000000001,2.54,84.99,2.3336248,0.08861073,71.00175,1.205617
9883606,Kepler-1598 b,2.696,77.2,2.625,72.4,2.4035156,0.08269506,65.863464,2.9972858
9946525,Kepler-148 d,4.7788,10313.6,4.804,9746.0,4.0120907,0.18516262,9588.681,317.95618
9946525,Kepler-148 c,2.482,1880.5,2.495,1720.0,2.3468592,0.072252676,1751.2861,52.05561
9946525,Kepler-148 b,1.757,517.2,1.764,474.2,1.686825,0.08099343,436.14465,8.3075
10024701,Kepler-1046 b,2.9658,251.5,2.917,243.6,2.8896532,0.072996184,211.58685,4.3265057
10028792,Kepler-87 b,11.878,4850.0,12.1,4853.0,11.315391,0.3455243,4646.1826,112.123825
10028792,Kepler-87 c,16.942,1061.2,15.56,980.9,15.863907,0.5727645,957.3816,29.28809
10057494,Kepler-1443 b,2.194,45.8,2.228,43.74,2.1984093,0.07892539,43.491238,2.7047784
10080248,Kepler-939 b,7.504,322.8,7.255,315.1,7.067957,0.24286437,307.57776,7.8420715
10118816,Kepler-1735 b,1.84,318.90000000000003,2.104,303.5,2.0103064,0.0605293,352.17294,18.071947
10123064,Kepler-565 b,3.368,1478.2,3.277,1101.0,3.259079,0.0722309,1365.3289,44.113052
