time,flux,flux_err
1350.1675892016226,9297.189,12.479887
1350.1689780918175,9268.939,12.470282
1350.1703669818964,9260.984,12.457233
1350.1717558719763,9286.987,12.471391
1350.1731447620555,9266.009,12.462253
1350.1745336521346,9283.714,12.467167
1350.17592254233,9276.802,12.466984
1350.177311432409,9287.897,12.4717045
1350.1787003224888,9260.929,12.4607
1350.1800892125686,9277.161,12.458876
1350.1814781026476,9281.1875,12.46726
1350.182866992727,9259.998,12.453965
1350.184255882806,9283.345,12.461623
1350.1856447728858,9288.094,12.470801
1350.1870336629647,9264.589,12.466937
1350.1884225530432,9288.499,12.46339
1350.1898114432395,9279.375,12.463211
1350.191200333319,9286.701,12.479634
1350.1925892233974,9254.129,12.45645
1350.1939781134768,9246.372,12.4573555
1350.1953670035564,9299.181,12.471537
1350.1967558936356,9282.345,12.472749
1350.1981447837145,9300.294,12.474737
1350.1995336736773,9256.999,12.462138
1350.2009225637564,9306.66,12.483549
1350.202311453836,9284.02,12.46781
1350.2037003439157,9271.336,12.465942
1350.205089233995,9262.33,12.457436
1350.206478124074,9288.034,12.46479
1350.207867014153,9294.526,12.467305
1350.2092559042328,9297.37,12.470095
1350.210644794312,9279.349,12.4717865
1350.2120336842738,9277.648,12.467953
1350.2134225743537,9277.177,12.462701
1350.2148114644335,9263.693,12.461183
1350.216200354512,9289.351,12.470876
1350.217589244591,9278.106,12.463226
1350.2189781345544,9284.573,12.466626
1350.2203670246333,9261.623,12.451271
1350.2217559147125,9261.801,12.452831
1350.2231448047917,9276.817,12.467086
1350.2245336947542,9290.073,12.469296
1350.225922584834,9307.867,12.470895
1350.227311474914,9264.633,12.460968
1350.2287003648764,9271.839,12.459604
1350.2300892549556,9287.934,12.467216
1350.2314781450348,9285.903,12.46299
1350.232867034998,9264.606,12.452676
1350.2342559250772,9282.716,12.463771
1350.2356448151556,9304.201,12.471239
1350.2370337051188,9285.299,12.46462
1350.2384225951985,9292.585,12.463627
1350.2398114851605,9264.16,12.4564905
1350.2412003752397,9291.9375,12.4734335
1350.242589265203,9272.714,12.457087
1350.243978155282,9266.115,12.454047
1350.2453670452448,9277.561,12.455831
1350.2467559353238,9271.054,12.470455
1350.2481448252865,9281.402,12.46482
1350.2495337153662,9280.392,12.464142
1350.2509226053296,9295.19,12.4615965
