time,flux,flux_err
1370.8390895839898,24643.012,18.858208
1370.8404784563797,24609.945,18.849424
1370.8418673286533,24648.621,18.869915
1370.843256201043,24581.79,18.84223
1370.8446450734318,24642.748,18.853329
1370.8460339457056,24614.717,18.84689
1370.8474228180958,24621.594,18.851288
1370.8488116903686,24635.766,18.852207
1370.8502005627588,24602.064,18.84444
1370.851589435149,24650.613,18.866375
1370.8529783074223,24641.598,18.862873
1370.8543671798116,24630.72,18.848835
1370.855756052201,24626.629,18.856865
1370.8571449244746,24623.344,18.848206
1370.8585337968648,24608.475,18.847029
1370.8599226692545,24618.297,18.856722
1370.8613115415283,24660.248,18.868704
1370.8627004139175,24629.262,18.868551
1370.8640892863073,24602.455,18.846754
1370.865478158581,24611.234,18.851612
1370.8668670309703,24666.57,18.872623
1370.8682559033605,24613.504,18.849182
1370.8696447757507,24611.535,18.852425
1370.871033648024,24634.957,18.86278
1370.8724225204132,24626.95,18.855175
1370.8738113928025,24625.602,18.862154
1370.8752002651927,24612.775,18.839588
1370.8765891374665,24632.59,18.859074
1370.8779780098562,24644.264,18.857603
1370.8793668822464,24619.04,18.846188
1370.8807557546365,24634.146,18.85789
1370.8821446270254,24650.818,18.860853
1370.8835334992982,24638.428,18.845469
1370.8849223716884,24624.71,18.86061
1370.8863112440786,24639.904,18.857733
1370.8877001164687,24623.451,18.856037
1370.8890889888582,24590.254,18.840063
1370.8904778612482,24600.855,18.845512
1370.8918667335215,24626.52,18.862288
1370.8932556059103,24620.455,18.85421
1370.8946444783005,24634.586,18.856619
1370.8960333506907,24657.234,18.865807
1370.8974222230809,24603.715,18.851303
1370.898811095471,24647.18,18.864843
1370.9001999678603,24656.768,18.858395
1370.90158884025,24635.988,18.845358
1370.9029777126393,24606.113,18.845348
1370.9043665850288,24634.9,18.85109
1370.9057554574188,24632.295,18.853168
1370.907144329809,24654.234,18.85892
1370.9085332021991,24582.814,18.844995
1370.9099220745893,24614.904,18.849016
1370.9113109469781,24629.482,18.846165
1370.9126998193678,24632.105,18.848621
1370.914088691758,24626.22,18.856647
1370.9154775641473,24593.748,18.839178
1370.9168664365375,24621.564,18.850128
1370.9182553089277,24620.016,18.851833
1370.9196441813178,24645.88,18.866154
1370.9210330537073,24631.852,18.853928
1370.922421926096,24621.184,18.85335
1370.923810798486,24623.24,18.850351
1370.9251996708763,24630.588,18.864044
1370.926588543266,24620.676,18.852377
1370.9279774156562,24615.273,18.857307
1370.9293662880464,24611.947,18.849432
1370.9307551604356,24633.672,18.866795
1370.9321440329418,24621.873,18.859486
1370.933532905331,24595.875,18.842957
1370.9349217777212,24631.98,18.84885
1370.9363106501114,24626.01,18.851099
1370.937699522501,24607.75,18.855991
1370.9390883948909,24612.264,18.851046
1370.940477267397,24641.457,18.85488
1370.9418661397863,24569.463,18.842089
1370.9432550121765,24601.004,18.834421
1370.9446438845662,24588.281,18.840971
1370.9460327569564,24567.62,18.836527
1370.947421629463,24590.58,18.841484
1370.9488105018522,24556.008,18.82947
1370.950199374242,24587.385,18.845581
1370.9515882466312,24593.184,18.825855
1370.9529771190214,24617.195,18.848778
1370.954365991528,24574.744,18.835085
1370.9557548639173,24601.123,18.840559
1370.958532608814,24626.5,18.849785
1370.9599214812029,24574.76,18.844269
1370.9613103535926,24583.617,18.83346
1370.9626992259828,24561.402,18.8448
1370.9640880984894,24592.352,18.83163
1370.9654769708795,24604.506,18.847746
1370.9668658432688,24581.184,18.84678
1370.9682547157754,24552.164,18.82819
1370.969643588165,24558.371,18.832668
1370.9710324605535,24595.154,18.849758
1370.97242133306,24575.738,18.82315
1370.9738102054503,24574.172,18.832447
1370.9751990779569,24567.195,18.833178
1370.976587950347,24600.389,18.842365
1370.9779768227368,24579.012,18.840166
1370.9793656952424,24558.793,18.832933
1370.9807545676322,24604.086,18.850063
1370.9821434401379,24619.686,18.855307
1370.983532312528,24555.902,18.822945
1370.9849211849182,24619.67,18.849363
1370.9863100574248,24597.496,18.849358
1370.987698929815,24621.383,18.84813
1370.9890878023202,24626.865,18.845913
1370.9904766747095,24589.465,18.837294
1370.991865547216,24616.814,18.848692
1370.9932544196058,24609.557,18.838919
1370.9946432921124,24643.95,18.858477
1370.9960321645026,24596.463,18.844248
1370.9974210370092,24659.945,18.862833
1370.9988099093985,24646.82,18.859707
1371.0001987819037,24584.65,18.845423
1371.0015876542939,24620.418,18.846296
1371.0029765268005,24636.795,18.851673
1371.0043653991897,24630.605,18.853142
1371.0057542716963,24623.203,18.861292
1371.007143144203,24640.488,18.84997
1371.0085320165927,24624.158,18.846464
1371.0099208890983,24593.795,18.847538
1371.011309761488,24615.441,18.858017
1371.0126986339947,24643.115,18.858757
1371.0140875065013,24659.426,18.863682
1371.0154763788905,24661.719,18.860313
1371.0168652513971,24607.332,18.850113
1371.0182541237866,24637.719,18.85915
1371.0196429962925,24614.344,18.84611
1371.0210318687991,24600.969,18.839127
1371.0224207411884,24645.88,18.858522
1371.023809613695,24638.31,18.857426
1371.0251984862016,24614.334,18.847654
1371.0265873585913,24636.24,18.852758
1371.027976231097,24628.89,18.859016
1371.0293651036031,24633.51,18.857426
1371.0307539759933,24630.666,18.859802
1371.0321428485,24590.496,18.834967
1371.0349205935122,24626.494,18.852493
1371.0363094659024,24649.932,18.867718
1371.0376983384076,24652.775,18.85875
1371.0390872109133,24665.29,18.859688
1371.04047608342,24641.51,18.854832
1371.04186495581,24650.955,18.858454
1371.0432538283167,24646.709,18.860073
1371.0446427008228,24604.902,18.849806
1371.0460315733294,24611.156,18.840582
1371.0474204457187,24641.406,18.863848
1371.048809318224,24640.607,18.858608
1371.051587063237,24643.285,18.857246
1371.0529759357437,24587.498,18.842152
1371.0543648082503,24588.842,18.846352
1371.0557536806396,24622.799,18.848429
1371.0585314256514,24636.262,18.855854
